month,nrAnswers
2014-10-31,3
2014-11-30,4
2014-12-31,0
2015-01-31,0
2015-02-28,3
2015-03-31,25
2015-04-30,15
2015-05-31,123
2015-06-30,149
2015-07-31,84
2015-08-31,23
2015-09-30,7
2015-10-31,0
2015-11-30,13
2015-12-31,38
2016-01-31,77
2016-02-29,94
2016-03-31,54
2016-04-30,75
2016-05-31,23
2016-06-30,29
2016-07-31,44
2016-08-31,1
2016-09-30,22
2016-10-31,7
2016-11-30,14
2016-12-31,23
2017-01-31,27
2017-02-28,20
2017-03-31,44
2017-04-30,36
2017-05-31,107
2017-06-30,25
2017-07-31,41
2017-08-31,74
2017-09-30,4
2017-10-31,18
2017-11-30,30
2017-12-31,56
2018-01-31,19
2018-02-28,28
2018-03-31,22
2018-04-30,12
2018-05-31,12
