date,questions
2015-06-16,25
2015-06-17,20
2015-05-05,17
2015-07-14,17
2017-08-10,16
2015-12-17,15
2016-04-27,15
2016-01-27,15
2016-03-24,14
2016-05-02,14
2016-02-21,14
2016-02-13,14
2015-05-04,13
2017-05-18,13
2017-05-06,13
2016-01-21,12
2015-07-08,11
2015-06-18,11
2016-07-06,11
2017-03-25,11
2016-04-21,11
2016-04-19,11
2015-05-07,10
2015-06-05,10
2016-01-28,10
2016-03-15,9
2015-07-21,9
2015-06-06,9
2017-11-15,8
2015-06-12,8
2015-05-08,8
2016-06-21,8
2015-06-25,8
2017-05-03,8
2015-05-22,8
2015-06-04,8
2016-07-20,8
2017-05-21,7
2017-03-07,7
2015-07-03,7
2017-04-22,7
2016-12-14,7
2017-01-25,7
2016-05-03,7
2017-08-02,7
2017-08-08,7
2016-01-29,7
2016-03-23,6
2016-04-04,6
2017-01-21,6
2015-05-31,6
2017-08-09,6
2015-05-25,6
2016-02-17,6
2016-02-15,6
2015-12-27,6
2017-12-20,6
2016-01-26,6
2017-12-16,6
2015-05-13,6
2016-02-06,6
2015-06-19,5
2017-08-11,5
2018-01-19,5
2017-05-16,5
2017-05-17,5
2017-05-19,5
2017-07-28,5
2017-02-05,5
2015-06-21,5
2015-08-08,5
2015-08-06,5
2016-01-04,5
2016-12-21,5
2017-06-16,5
2017-08-04,5
2017-08-05,5
2017-05-01,5
2017-05-02,5
2016-03-31,5
2016-04-22,5
2015-05-23,5
2015-05-24,5
2015-05-27,5
2016-02-19,5
2016-02-11,5
2015-07-18,5
2015-12-29,5
2015-03-27,5
2017-05-24,5
2017-08-19,5
2017-05-31,5
2018-02-22,5
2015-04-24,5
2016-04-18,5
2017-12-15,5
2016-07-22,5
2015-05-14,5
2016-02-02,5
2015-11-12,4
2015-07-05,4
2015-07-06,4
2016-03-18,4
2016-03-10,4
2017-04-10,4
2017-05-23,4
2017-05-22,4
2018-05-05,4
2016-11-28,4
2015-07-09,4
2015-05-06,4
2017-06-08,4
2017-07-20,4
2018-01-21,4
2016-06-10,4
2017-03-21,4
2017-08-30,4
2015-12-30,4
2016-09-22,4
2016-02-22,4
2017-08-07,4
2017-05-04,4
2017-07-10,4
2017-07-12,4
2015-07-23,4
2015-07-29,4
2016-04-26,4
2016-07-16,4
2015-05-26,4
2015-09-29,4
2016-01-19,4
2017-02-28,4
2015-03-25,4
2017-03-16,4
2017-07-06,4
2016-01-24,4
2017-12-13,4
2017-12-10,4
2017-12-11,4
2017-12-18,4
2017-10-26,4
2016-02-03,4
2016-02-05,4
